"STATION","NAME","DATE","ACMH","ACSH","AWND","DAPR","FMTM","FRGT","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-20",,,,,,,,,"0.0","0.0","0.0",,"15.6","2.8",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-21",,,,,,,,,"0.0","0.0","0.0",,"16.1","1.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-22",,,,,,,,,"0.3","0.0","0.0",,"15.0","3.9",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-23",,,,,,,,,"0.0","0.0","0.0",,"22.2","4.4",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-24",,,,,,,,,"0.0","0.0","0.0",,"22.2","3.3",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-25",,,,,,,,,"0.0","0.0","0.0",,"16.7","3.3",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-26",,,,,,,,,"0.0","0.0","0.0",,"14.4","2.2",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-27",,,,,,,,,"0.0","0.0","0.0",,"15.0","2.2",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-28",,,,,,,,,"0.0","0.0","0.0",,"14.4","0.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-29",,,,,,,,,"0.0","0.0","0.0",,"13.3","1.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-30",,,,,,,,,"0.0","0.0","0.0",,"13.9","2.2",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-01-31",,,,,,,,,"0.0","0.0","0.0",,"12.2","6.7",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-01",,,,,,,,,"0.0","0.0","0.0",,"11.7","3.3",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-02",,,,,,,,,"1.8","0.0","0.0",,"9.4","1.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-03",,,,,,,,,"0.0","0.0","0.0",,"13.9","2.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-04",,,,,,,,,"13.2","0.0","0.0",,"9.4","1.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-05",,,,,,,,,"13.5","0.0","0.0",,"8.9","3.3",,,,,,,,,,,,"    1",,"    1",,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-06",,,,,,,,,"2.0","0.0","0.0",,"10.6","2.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-07",,,,,,,,,"0.0","0.0","0.0",,"12.8","0.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-08",,,,,,,,,"0.0","0.0","0.0",,"13.9","0.6",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-09",,,,,,,,,"6.4","0.0","0.0",,"12.8","7.8",,,,,,,,,,"    1",,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-10",,,,,,,,,"0.0","0.0","0.0",,"12.8","4.4",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-11",,,,,,,,,"0.0","0.0","0.0",,"12.8","3.3",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-12",,,,,,,,,"0.0","0.0","0.0",,"13.3","-1.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-13",,,,,,,,,"0.0","0.0","0.0",,"12.2","1.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-14",,,,,,,,,"0.0","0.0","0.0",,"15.6","2.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-15",,,,,,,,,"0.0","0.0","0.0",,"15.0","3.3",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-16",,,,,,,,,"0.0","0.0","0.0",,"19.4","10.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-17",,,,,,,,,"0.0","0.0","0.0",,"20.6","7.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-18",,,,,,,,,"0.8","0.0","0.0",,"14.4","7.2",,,,,,,,,,"    1",,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-19",,,,,,,,,"0.0","0.0","0.0",,"14.4","7.8",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-20",,,,,,,,,"0.0","0.0","0.0",,"15.6","6.7",,,,,,,,,,"    1",,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-21",,,,,,,,,"0.0","0.0","0.0",,"15.0","5.6",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-22",,,,,,,,,"0.8","0.0","0.0",,"13.9","8.3",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-23",,,,,,,,,"0.0","0.0","0.0",,"16.7","6.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-24",,,,,,,,,"0.0","0.0","0.0",,"19.4","6.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-25",,,,,,,,,"0.0","0.0","0.0",,"17.8","3.9",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-26",,,,,,,,,"0.0","0.0","0.0",,"14.4","7.8",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-27",,,,,,,,,"3.8","0.0","0.0",,"12.2","3.9",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-28",,,,,,,,,"2.0","0.0",,,"13.3","4.4",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-02-29",,,,,,,,,"0.0","0.0","0.0",,"15.0","1.7",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-01",,,,,,,,,"0.0","0.0","0.0",,"15.0","5.0",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-02",,,,,,,,,"0.0","0.0","0.0",,"13.9","4.4",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-03",,,,,,,,,"0.0","0.0","0.0",,"15.6","1.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-04",,,,,,,,,"0.0","0.0","0.0",,"17.2","2.2",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-05",,,,,,,,,"0.0","0.0","0.0",,"12.8","1.7",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-06",,,,,,,,,"0.0","0.0","0.0",,"15.0","3.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-07",,,,,,,,,"0.0","0.0","0.0",,"16.7","3.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-08",,,,,,,,,"7.6","0.0","0.0",,"12.2","5.6",,,,,,,,,,"    1",,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-09",,,,,,,,,"0.0","0.0","0.0",,"15.6","5.0",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-10",,,,,,,,,"0.0","0.0","0.0",,"16.1","3.3",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-11",,,,,,,,,"0.0","0.0","0.0",,"16.7","1.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-12",,,,,,,,,"4.8","0.0","0.0",,"16.7","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-13",,,,,,,,,"11.2","0.0","0.0",,"13.3","8.9",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-14",,,,,,,,,"6.9","0.0","0.0",,"12.2","5.6",,,,,,,,,,,,"    1",,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-15",,,,,,,,,"1.5","0.0","0.0",,"13.3","1.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-16",,,,,,,,,"2.8","0.0","0.0",,"13.3","6.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-17",,,,,,,,,"0.0","0.0","0.0",,"13.3","3.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-18",,,,,,,,,"4.3","0.0","0.0",,"13.3","3.3",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-19",,,,,,,,,"0.0","0.0","0.0",,"11.7","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-20",,,,,,,,,"0.0","0.0","0.0",,"13.3","2.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-21",,,,,,,,,"0.0","0.0","0.0",,"16.7","3.3",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-22",,,,,,,,,"0.0","0.0","0.0",,"15.0","8.9",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-23",,,,,,,,,"15.7","0.0","0.0",,"15.0","9.4",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-24",,,,,,,,,"4.6","0.0","0.0",,"11.1","6.1",,,,,,,,,,,,,,"    1",,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-25",,,,,,,,,"0.0","0.0","0.0",,"13.3","4.4",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-26",,,,,,,,,"0.0","0.0","0.0",,"17.2","2.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-27",,,,,,,,,"0.0","0.0","0.0",,"21.7","6.7",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-28",,,,,,,,,"8.1","0.0","0.0",,"14.4","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-29",,,,,,,,,"0.0","0.0","0.0",,"17.8","7.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-30",,,,,,,,,"0.0","0.0","0.0",,"15.0","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-03-31",,,,,,,,,"0.0","0.0","0.0",,"15.6","7.2",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-01",,,,,,,,,"0.0","0.0","0.0",,"13.3","8.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-02",,,,,,,,,"6.6","0.0","0.0",,"13.3","8.9",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-03",,,,,,,,,"0.0","0.0","0.0",,"14.4","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-04",,,,,,,,,"16.3","0.0","0.0",,"14.4","7.8",,,,,,,,,,,,,,"    1",,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-05",,,,,,,,,"10.9","0.0","0.0",,"14.4","7.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-06",,,,,,,,,"2.0","0.0",,,"13.3","5.6",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-07",,,,,,,,,"0.0","0.0","0.0",,"15.6","3.3",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-08",,,,,,,,,"4.6","0.0","0.0",,"15.6","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-09",,,,,,,,,"6.4","0.0","0.0",,"14.4","10.0",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-10",,,,,,,,,"1.5","0.0","0.0",,"16.1","7.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-11",,,,,,,,,"2.3","0.0","0.0",,"15.6","7.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-12",,,,,,,,,"0.0","0.0","0.0",,"14.4","7.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-13",,,,,,,,,"0.0","0.0","0.0",,"15.6","4.4",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-14",,,,,,,,,"0.0","0.0","0.0",,"21.7","11.1",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-15",,,,,,,,,"3.0","0.0","0.0",,"22.2","11.1",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-16",,,,,,,,,"3.6","0.0","0.0",,"15.0","10.6",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-17",,,,,,,,,"0.0","0.0","0.0",,"17.2","8.9",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-18",,,,,,,,,"0.0","0.0","0.0",,"19.4","5.6",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-19",,,,,,,,,"0.0","0.0","0.0",,"16.1","7.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-20",,,,,,,,,"0.0","0.0","0.0",,"15.6","10.0",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-21",,,,,,,,,"2.3","0.0","0.0",,"14.4","9.4",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-22",,,,,,,,,"2.3","0.0","0.0",,"16.1","10.0",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-23",,,,,,,,,"0.0","0.0","0.0",,"17.8","7.8",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-24",,,,,,,,,"0.0","0.0","0.0",,"18.9","6.1",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-25",,,,,,,,,"0.0","0.0","0.0",,"17.8","11.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-26",,,,,,,,,"0.0","0.0","0.0",,"16.1","9.4",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-27",,,,,,,,,"0.0","0.0","0.0",,"14.4","10.0",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-28",,,,,,,,,"10.9","0.0",,,"10.0","6.7",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-29",,,,,,,,,"15.0","0.0","0.0",,"13.3","4.4",,,,,,,,,,,,"    1",,"    1",,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-04-30",,,,,,,,,"0.8","0.0","0.0",,"16.1","7.2",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-01",,,,,,,,,"0.0","0.0","0.0",,"15.6","4.4",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-02",,,,,,,,,"0.0","0.0","0.0",,"17.2","4.4",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-03",,,,,,,,,"0.0","0.0","0.0",,"18.3","10.6",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-04",,,,,,,,,"0.0","0.0","0.0",,"20.6","11.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-05",,,,,,,,,"0.0","0.0","0.0",,"19.4","9.4",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-06",,,,,,,,,"0.0","0.0","0.0",,"17.2","10.6",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-07",,,,,,,,,"0.0","0.0","0.0",,"15.6","10.0",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-08",,,,,,,,,"0.0","0.0","0.0",,"16.7","6.7",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-09",,,,,,,,,"0.0","0.0","0.0",,"16.7","6.7",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-10",,,,,,,,,"0.0","0.0","0.0",,"17.8","8.9",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-11",,,,,,,,,"0.0","0.0","0.0",,"16.7","10.0",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-12",,,,,,,,,"0.0","0.0","0.0",,"17.8","10.0",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-13",,,,,,,,,"0.0","0.0","0.0",,"17.8","11.1",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-14",,,,,,,,,"0.0","0.0","0.0",,"20.6","6.7",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-15",,,,,,,,,"0.0","0.0","0.0",,"22.2","7.8",,,,,,,,,,,,,,,,,"    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-16",,,,,,,,,"0.0","0.0","0.0",,"21.7","8.9",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-17",,,,,,,,,"0.0","0.0","0.0",,"16.7","11.1",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-18",,,,,,,,,"0.3","0.0","0.0",,"15.0","8.9",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-19",,,,,,,,,"2.0","0.0","0.0",,"14.4","9.4",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-20",,,,,,,,,"5.8","0.0","0.0",,"14.4","9.4",,,,,,,,,,,,,,,,,"    1",,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-21",,,,,,,,,"0.0","0.0","0.0",,"18.9","8.3",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-22",,,,,,,,,"0.0","0.0","0.0",,"22.8","7.8",,,,,,,,,,,,,,,,,,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-23",,,,,,,,,"0.0","0.0","0.0",,"16.1","10.6",,,,,,,,,,,,,,,,,,,"    1",
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","1948-05-24",,,,,,,,,"0.0","0.0","0.0",,"15.0","10.0",,,,,,,,,,,,,,,,,,,"    1",
